Name,Type 1,Type 2,Ability,Item,Nature,HP,Atk,Def,Sp. Atk,Sp. Def,Spe,Move 1,Move 2 ,Move 3,Move 4
Tauros-F,Fighting,Fire,Intimidate,Assault Vest,Careful,84,,,,188,236,Close Combat,Raging Bull,Wild Charge,Trailblaze
Skeledirge,Fire,Ghost,Unaware,Assault Vest,Calm,244,,76,,188,,Torch Song,Alluring Voice,Scorching Sands,Hex
Barraskewda,Water,,Swift Swim,Choice Band,Jolly,244,,92,,172,,Close Combat,Liquidation,Crunch,Flip Turn
Staraptor,Normal,Flying,Reckless,Sitrus,Jolly,252,4,,,,252,Brave Bird, Double-Edge, Acrobatics, Quick Attack
Arcanine-H,Fire,Rock,Rock Head,Metronome,Jolly,244,,132,,132,,Head Smash, Flare Blitz, Wild Charge, Extreme Speed
Reuniclus,Psychic,,Regenerator,Light Clay,Bold,252,,124,,132,,Reflect,Light Screen,Future Sight,Flash Cannon
Corviknight,Steel,Flying,Mirror Armor,Rocky Helmet,Careful,252,140,20,,92,4,Roost,Bulk Up,Brave Bird,Iron Head
Clawitzer,Water,,Mega Launcher,Wise Glasses,Careful,12,,252,,244,,Dragon Pulse, Dark Pulse,Aura Sphere,Water Pulse
Infernape,Fire,Fighting,Iron Fist,White Herb,Hasty,164,4,84,4,,252,Overheat,Close Combat,Drain Punch,Thunder Punch
Umbreon,Dark,,Synchronize,Leftovers,Calm,252,,252,,4,,Foul Play,Protect,Roar,Wish
Cloyster,Water,Ice,Skill Link,White Herb,Careful,196,76,,,236,,Shell Smash,Icicle Spear,Rock Blast,Liquidation
Electrode-Hisui,Electric,Grass,Aftermath,Choice Specs,Timid,124,,84,204,4,92,Chloroblast,Leaf Storm,Tera Blast,Volt Switch
Grimmsnarl,Dark,Fairy,Prankster,Figy Berry,Adamant,244,,132,,132,,Bulk Up,Play Rough,Drain Punch,Sucker Punch
Espathra,Psychic,,Speed Boost,Clear Amulet,Timid,156,,156,28,156,12,Calm Mind,Lumina Crash, Dazzling Gleam, Stored Power
Porygon-Z,Normal,,Adaptability,Sitrus Berry,Timid,180,,76,4,36,212,Gravity,Blizzard,Thunder,Tera Blast
Iron Thorns,Rock,Electric,Quark Drive,Terrain Extender,Impish,196,4,84,,44,180,Electric Terrain,Supercell Slam,Body Press,Dragon Tail
